Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10","Regional strain value, cardiac phase_11"
4919,0,-0.0812386424766535,-0.151112504980511,-0.27026072401679,-0.247216041826203,-0.186238904591229,-0.155878080828937,-0.118444024282453,-0.158231481033558,-0.0740181630376942,-0.00539253196111245
4920,0,-0.0775573013864964,-0.131176097062653,-0.240810526997413,-0.222693544192603,-0.168405085785025,-0.131848582956448,-0.0856251542532821,-0.144611899789478,-0.0651308064384665,-0.0214165340836435
4921,0,-0.0703861413594216,-0.11455744953621,-0.210653631420737,-0.206011307799734,-0.148653300899013,-0.110961347100767,-0.0553291223619681,-0.124837034971078,-0.052388025045234,-0.0298133451688762
4922,0,-0.00359953073017849,-0.16076938741174,-0.199228743130163,-0.196119192931899,-0.155121721585188,-0.123586643756939,-0.135746212258908,-0.113983103694267,-0.133761267007364,-0.0279611878521229
4923,0,-0.0437042051627841,-0.0960001819811078,-0.188053519133553,-0.18273547794971,-0.130579710836743,-0.0940152967000216,-0.0596803459763474,-0.112541416025932,-0.0319312935709904,-0.0287675528265638
4924,0,0.00823354839716606,-0.135358234569486,-0.184217627539191,-0.174574004703019,-0.135713304784613,-0.097699699947366,-0.117313487559899,-0.0961485642971329,-0.125998630630197,-0.0360264341658959
4925,0,-0.0190844574827571,-0.0841987608581936,-0.160981137371474,-0.155193504579764,-0.102908082741396,-0.0672736605021877,-0.0476790057032548,-0.0907515271007651,-0.0226777146339687,-0.0286904927037412
4926,0,-0.00556178531999996,-0.127475698204188,-0.176353998870253,-0.184344157405006,-0.140937083257461,-0.0910013870404863,-0.114781528501797,-0.0933639511101808,-0.105280786861203,-0.0372112201087277
4927,0,-0.0204275262988781,-0.0751595858896896,-0.174681751497431,-0.176792079449955,-0.116115895669084,-0.0731907212680845,-0.0491278232830289,-0.0862708070743854,-0.0139697055881018,-0.0060485282200694
4928,0,-0.00438265275441907,-0.12581879601756,-0.167149507127872,-0.180547736743119,-0.13497090756311,-0.0867872238260725,-0.108091055332313,-0.0834766057079523,-0.0965709077905518,-0.0335427332850938
4929,0,-0.0131169863026394,-0.0997194104934956,-0.163084128357554,-0.163888006368459,-0.112070891281061,-0.0682272019200856,-0.0651175420260446,-0.0834424326793199,-0.0174401300229767,-0.0041966296735263
4930,0,0.00853391059307351,-0.110894703141474,-0.178782197748559,-0.159516022907837,-0.117145275067502,-0.0855885914772163,-0.0980305316087647,-0.0730745129995525,-0.111307121502662,-0.0452895278277596
4931,0,-0.0128161113672447,-0.107541766262752,-0.162993593025237,-0.168686767539953,-0.1242439655932,-0.0702527538006253,-0.0719123921590238,-0.0799384954762989,-0.0156093197262341,0.00669326701289319
4932,0,-0.0119879814787139,-0.103947510463063,-0.180657411279134,-0.176054931428891,-0.131465640052741,-0.0895531941519863,-0.108012047232426,-0.075609228247655,-0.0883146829070304,-0.0426575715696949
4933,0,-0.0278962923613997,-0.11834595920002,-0.172204666956768,-0.186228234368861,-0.149286969670627,-0.0864081717407303,-0.0896000596111389,-0.0854046821829884,-0.0175353592548465,0.0169990861815732
4934,0,-0.00769483869975585,-0.107587609404238,-0.160285047835254,-0.173122477805353,-0.126501953266905,-0.0863798021973716,-0.102503190406306,-0.0672411786835971,-0.0739722653833076,-0.0316736494260716
4935,0,-0.0418089106315437,-0.127824556588337,-0.178375688763292,-0.20300282325105,-0.178889351426256,-0.102133117693573,-0.106425903585552,-0.0883339042297149,-0.019568562216701,0.0280381421613636
4936,0,-0.00417974297071622,-0.102262647793178,-0.155211814928784,-0.171424584266806,-0.123575419209698,-0.0855718566111031,-0.100079603314723,-0.063119443623697,-0.0643984157296572,-0.028135196331
4937,0,-0.0398944950704425,-0.10929049268527,-0.176579263847199,-0.203743582681817,-0.179717902985765,-0.0958000991518642,-0.0925431274936358,-0.0778948456510118,-0.00857697732307461,0.037040517750718
4938,0,-0.0125788092228577,-0.100706661236287,-0.164151030224703,-0.169704098900586,-0.130573554921379,-0.0926413093995526,-0.0981270840476274,-0.0641683088571543,-0.0629475269454547,-0.0307058439132172
4939,0,-0.0174144796171389,-0.0888681612618347,-0.157244834752519,-0.177450831547396,-0.142730488924714,-0.0671359546030899,-0.0716233739865516,-0.0571882412694693,0.00522302293638521,0.0359811372749885
4940,0,-0.0185785343113963,-0.0949256324200318,-0.174225993046179,-0.168672773708871,-0.136486211208782,-0.100703749204727,-0.0977638865408509,-0.0662915651832926,-0.061389314534425,-0.033057122923417
4941,0,-0.0175997958539322,-0.0904122534293312,-0.154942371180873,-0.176790154031207,-0.144098846346308,-0.0639645217731029,-0.069276221082799,-0.0466871677418926,0.0055124551528789,0.034605825319336
4942,0,-0.0214535144161394,-0.0891830514116949,-0.154190205365233,-0.175785441723121,-0.131943676848959,-0.098345577104342,-0.0997697753735425,-0.0603348400780889,-0.0367307204412193,-0.0255084382362607
4943,0,-0.00345719067154138,-0.10380837849811,-0.136947292241525,-0.154481418642686,-0.109160368631228,-0.0469863670341178,-0.0697989887642071,-0.0368036343099519,0.00422978576771738,0.0242172027101435
4944,0,-0.0197632940874755,-0.0566052433247625,-0.115176110895394,-0.18773331360432,-0.120298704544119,-0.0670722228596576,-0.0975717467312693,-0.0346723812218181,0.0267473633913535,0.00546557301401651
4945,0,-0.0106685423189863,-0.114410621465777,-0.137821196364596,-0.159890247358693,-0.124068837929177,-0.0512859511271546,-0.0679481676934288,-0.0265405382705958,-0.00426003973161093,0.0256414168344075
4946,0,-0.0135184094000563,-0.0486835055801265,-0.108905662537587,-0.180158402605069,-0.115022707887968,-0.0655262417585103,-0.0918758312857871,-0.0293180753290183,0.0315107447276055,0.00749402100176155
4947,0,-0.00308232183696078,-0.133845832351444,-0.126519534682463,-0.142850750659821,-0.0916581333333183,-0.0379364641121556,-0.0708114899380857,-0.0252845216002614,-0.0149513151998204,0.013183791304441
4948,0,-0.00747681531844491,-0.0579191844059819,-0.110939933520716,-0.156264185486178,-0.111965309096355,-0.0803632705705837,-0.0825709047126097,-0.0338448862839349,0.00692906675285254,-0.0032499808434181
4949,0,-0.00747191878545617,-0.147497544040011,-0.124951334349034,-0.140131074732056,-0.0784395646794001,-0.026818284395367,-0.0657911924382202,-0.012113023875296,-0.0275816839937292,0.00748937137799355
4950,0,-0.00581803646508339,-0.0715088059159342,-0.117993330964616,-0.138246036949349,-0.114743329929902,-0.103702334611939,-0.0816624788060899,-0.0466419506258435,-0.0221878565120396,-0.0165322327450528
4951,0,-0.017679358798248,-0.178445999882939,-0.131689471114459,-0.148803035817298,-0.10768283641517,-0.0542108423678688,-0.0975322648433663,-0.048858416329574,-0.0444734910628988,0.00131467171337452
4952,0,-0.00425518460242014,-0.0661018380311681,-0.114409426666949,-0.134147650308737,-0.114446200392135,-0.10715100164612,-0.0811397174970763,-0.0492880539337341,-0.0195648711057096,-0.0170177856541671
