x coordinate,y coordinate,z coordinate
84.375,88.125,46.875
84.375,86.25,48.75
84.375,90,46.875
84.375,91.875,46.875
84.375,93.75,46.875
84.375,110.625,48.75
86.25,88.125,46.875
86.25,86.25,48.75
86.25,90,46.875
86.25,91.875,46.875
86.25,93.75,46.875
86.25,112.5,48.75
88.125,88.125,46.875
88.125,86.25,48.75
88.125,90,46.875
88.125,91.875,46.875
88.125,93.75,46.875
88.125,95.625,46.875
88.125,112.5,48.75
90,88.125,46.875
90,86.25,48.75
90,90,46.875
90,95.625,46.875
90,112.5,48.75
91.875,88.125,48.75
91.875,112.5,48.75
93.75,90,48.75
93.75,112.5,48.75
95.625,88.125,46.875
93.75,88.125,48.75
95.625,86.25,48.75
95.625,90,48.75
95.625,110.625,46.875
95.625,112.5,46.875
95.625,114.375,48.75
97.5,88.125,48.75
97.5,90,46.875
97.5,106.875,46.875
97.5,108.75,46.875
97.5,110.625,46.875
97.5,112.5,46.875
97.5,114.375,48.75
99.375,90,48.75
99.375,106.875,46.875
99.375,108.75,46.875
99.375,110.625,46.875
99.375,112.5,46.875
99.375,114.375,48.75
101.25,90,48.75
101.25,106.875,46.875
101.25,108.75,46.875
101.25,110.625,46.875
101.25,112.5,46.875
101.25,114.375,48.75
103.125,90,48.75
103.125,108.75,46.875
103.125,110.625,46.875
103.125,112.5,48.75
105,86.25,46.875
103.125,86.25,48.75
105,84.375,48.75
103.125,88.125,48.75
105,110.625,46.875
105,112.5,48.75
106.875,84.375,48.75
106.875,110.625,46.875
106.875,112.5,48.75
108.75,86.25,48.75
108.75,110.625,48.75
110.625,86.25,46.875
110.625,84.375,48.75
110.625,108.75,48.75
112.5,84.375,46.875
112.5,82.5,48.75
112.5,106.875,48.75
114.375,82.5,48.75
114.375,105,48.75
114.375,106.875,48.75
116.25,80.625,48.75
116.25,103.125,48.75
118.125,80.625,48.75
118.125,91.875,48.75
118.125,93.75,48.75
118.125,95.625,48.75
118.125,97.5,48.75
118.125,101.25,48.75
120,80.625,48.75
120,84.375,48.75
120,86.25,48.75
120,88.125,48.75
120,90,48.75
120,91.875,48.75
120,93.75,48.75
120,95.625,48.75
120,97.5,48.75
120,99.375,48.75
121.875,82.5,48.75
121.875,84.375,48.75
121.875,90,48.75
121.875,91.875,48.75
123.75,84.375,48.75
121.875,86.25,48.75
123.75,88.125,48.75
125.625,80.625,48.75
123.75,82.5,48.75
125.625,84.375,48.75
125.625,86.25,48.75
127.5,80.625,48.75
127.5,84.375,48.75
129.375,82.5,48.75
63.75,99.375,48.75
61.875,99.375,50.625
63.75,97.5,50.625
63.75,101.25,48.75
61.875,101.25,50.625
63.75,103.125,50.625
65.625,97.5,48.75
65.625,95.625,50.625
65.625,99.375,48.75
65.625,101.25,48.75
65.625,103.125,48.75
65.625,105,50.625
67.5,95.625,48.75
67.5,93.75,50.625
67.5,97.5,48.75
67.5,99.375,48.75
67.5,101.25,48.75
67.5,103.125,50.625
69.375,93.75,48.75
69.375,91.875,50.625
69.375,95.625,48.75
69.375,97.5,48.75
69.375,99.375,48.75
69.375,101.25,50.625
71.25,91.875,48.75
71.25,90,50.625
71.25,93.75,48.75
71.25,95.625,48.75
71.25,99.375,50.625
71.25,103.125,48.75
69.375,103.125,50.625
71.25,101.25,50.625
69.375,105,50.625
71.25,106.875,48.75
69.375,106.875,50.625
71.25,108.75,50.625
73.125,90,48.75
73.125,88.125,50.625
73.125,91.875,48.75
73.125,93.75,48.75
73.125,108.75,50.625
75,88.125,48.75
75,86.25,50.625
75,90,48.75
75,91.875,48.75
75,93.75,48.75
75,110.625,50.625
76.875,86.25,48.75
76.875,84.375,50.625
76.875,88.125,48.75
76.875,110.625,48.75
76.875,112.5,50.625
78.75,86.25,48.75
78.75,84.375,50.625
78.75,112.5,50.625
80.625,84.375,48.75
80.625,82.5,50.625
80.625,112.5,50.625
82.5,84.375,48.75
82.5,82.5,50.625
82.5,112.5,50.625
84.375,84.375,50.625
84.375,112.5,50.625
86.25,84.375,50.625
86.25,93.75,50.625
86.25,114.375,50.625
88.125,86.25,50.625
88.125,93.75,50.625
88.125,114.375,50.625
90,86.25,50.625
90,93.75,50.625
90,95.625,50.625
90,114.375,50.625
91.875,86.25,50.625
91.875,93.75,50.625
91.875,114.375,50.625
93.75,86.25,48.75
93.75,84.375,50.625
93.75,114.375,50.625
95.625,84.375,50.625
95.625,116.25,50.625
