Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9"
5403,0,0.0415857568393685,0.0242618989344128,-0.0516747934177536,-0.171534814122757,-0.276995012945114,-0.235155135357133,-0.0717420287690633,-0.0196672559998178
5404,0,0.0213416847764647,-0.0105479765328227,-0.0277892307277423,-0.0734783212302155,-0.131338533410825,-0.142428715151918,-0.110915251319759,-0.0781064646437032
5405,0,0.040296782459196,0.0175243206394995,-0.0461951574651878,-0.180706242993033,-0.280119303285176,-0.24281973252556,-0.0866417045837302,-0.0181287357329805
5406,0,0.00605998783991146,-0.0267899751084071,-0.0345343114753596,-0.104179528192252,-0.157017826108207,-0.172833834466878,-0.121144905632641,-0.0679250797636217
5407,0,0.0195737727586336,-0.0165556081520176,-0.0232127442422778,-0.0820400739988422,-0.135547173978938,-0.148888301267706,-0.122495533661106,-0.0752807840322329
5408,0,0.0403404478835376,0.00453506188470976,-0.0395027407090129,-0.184012685422084,-0.27761742094751,-0.235823288565778,-0.0903366564824482,-0.00842908415149191
5409,0,3.6274315964091e-05,-0.0296272662351883,-0.0347721383073488,-0.110962751121475,-0.16550600818325,-0.180732362327409,-0.130867809832912,-0.0703443519595076
5410,0,0.0492594783956031,0.0184528424388797,-0.0277180238616802,-0.165278537738563,-0.266808858204418,-0.222609142129719,-0.0793935964238578,0.00376504835782177
5411,0,-0.00785866528915147,-0.0381929595348233,-0.0321755965355698,-0.119489533985038,-0.16947646622896,-0.18445853223691,-0.138374959646551,-0.0654114515186122
5412,0,0.0457406621764027,0.00582878639934203,-0.024575243172825,-0.174841679956066,-0.269143227982506,-0.227203745809663,-0.0914161553820675,0.00616668063778714
5413,0,-0.0141970030171396,-0.0459515522215026,-0.034866815531377,-0.140291936953848,-0.192137880004255,-0.209349946161801,-0.143686716717839,-0.0647878870887797
5414,0,-0.00600135534983881,-0.0465179613687006,-0.036368142515985,-0.125841040966865,-0.180319488138363,-0.191905649116291,-0.137317633836373,-0.0626785810200376
5415,0,0.0322085820797893,-0.0242897954501382,-0.0307705645851973,-0.216279726474822,-0.287462742916533,-0.251721579508953,-0.115947582374011,0.00540694525811936
5416,0,0.0195877610732125,-0.0331862769764059,-0.0222262007597451,-0.0951772921403941,-0.159212289123188,-0.164899609607711,-0.13423880425132,-0.0723145707316196
5417,0,0.0609966936221809,0.0108904846923814,-0.0124490289153634,-0.152720215273323,-0.265870006187651,-0.218579139547397,-0.0936565308940627,0.0183230458148298
