Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9"
5278,0,0.0157545693802725,-0.053803297020641,-0.0477317294966317,-0.117513936539872,-0.0850425938668008,0.00364429875323014,-0.0676584984610568,0.0121026654101806
5279,0,-0.0198776062457977,-0.0657769008195117,-0.0971289922918432,-0.118793087484411,-0.129615000481584,-0.170801632040007,-0.0802055352739176,-0.0525146664861815
5280,0,0.0131947391489635,-0.058076228354623,-0.0767648628407757,-0.132945086024473,-0.114084246186701,-0.0457355512651387,-0.0874991669978958,-0.00752897040707678
5281,0,-0.0382991130746753,-0.124491926901852,-0.136317111714869,-0.183016901094162,-0.187767462411407,-0.171308435682135,-0.0777947536992663,-0.0736287117919179
5282,0,-0.048898725999316,-0.151737166282795,-0.15817993645282,-0.212156312372914,-0.215077478535063,-0.163083469339577,-0.0741439725693943,-0.0775541908440817
5283,0,-0.0599224873465622,-0.16887641331421,-0.177226729416659,-0.229290662229086,-0.230739730588266,-0.148717137561131,-0.0697423594020298,-0.0741444722588087
5284,0,-0.0361351981197282,-0.112514537079919,-0.11276706422618,-0.165600669802648,-0.16587433124138,-0.127864903036302,-0.0884974423511895,-0.0625104279031442
5285,0,-0.0302303834708754,-0.112817251321569,-0.112429407866928,-0.164963175151209,-0.162652591608809,-0.0964227962698955,-0.0818265303176378,-0.0489734473073785
5286,0,-0.0550686154640402,-0.130671062701327,-0.146125222331027,-0.171001722575115,-0.181031995977994,-0.0855665985700932,-0.0684828241226632,-0.0334842891435714
5287,0,-0.0413372462289394,-0.11074622182072,-0.140712946597563,-0.162922676905731,-0.169210165004181,-0.0728389573890826,-0.0723970370177206,-0.022080292298411
5288,0,-0.00247694226617801,-0.0675287859752948,-0.0878483841209228,-0.134506515196638,-0.124649390007966,-0.0484788914886808,-0.0842464465268979,-0.0173363843935593
5289,0,-0.0514329200271185,-0.0401330620971067,-0.120483812324809,-0.0938123031278689,-0.144786947349232,-0.123976347412374,-0.0121368768979302,-0.0193527509211413
5290,0,-0.0196318124218641,-0.0616630958965105,-0.0850239867492103,-0.0722061947063138,-0.139929353525876,-0.0715875174358018,0.0039779547669434,0.00105747770585318
5291,0,-0.111010583724686,-0.0481515160573799,-0.188993128632484,-0.126778917253755,-0.189563466117674,-0.213894273620273,-0.0328483173015225,-0.0525870313849005
5292,0,-0.130318775226357,-0.0629381777089296,-0.207182330327775,-0.138735884177475,-0.209414998804565,-0.235245579933105,-0.0305469529348268,-0.0511201969584043
5293,0,-0.00526084793733428,-0.0825492857489315,-0.082036618577933,-0.101285944845329,-0.13492901604914,-0.0538676797240668,-0.0042620819828959,0.0233917916606765
5294,0,-0.123598035852401,-0.0835526662744648,-0.208167527313758,-0.151868562090413,-0.233181923779509,-0.230912778337794,-0.0180802302747896,-0.0344753321288672
5295,0,-0.133143959268844,-0.143560444869954,-0.246741177675674,-0.240541695934099,-0.259768533037647,-0.270979468781439,-0.0428089591503547,-0.0175207599715734
5296,0,-0.0231925226324307,-0.114507776474685,-0.120024360276575,-0.143748299017627,-0.147275515688123,-0.0636929515186286,-0.011704576382083,0.0426587387431852
5297,0,-0.124627543555485,-0.183417063758224,-0.211970156842114,-0.219426745193702,-0.228990598258281,-0.195092923885444,-0.0372750076688282,0.00237168289534617
5298,0,-0.0751501409744867,-0.160076256569466,-0.213474016390636,-0.212513702940316,-0.184911081799093,-0.119135438122485,-0.00864159065237935,0.0451574237562096
5299,0,-0.113084258254653,-0.185126345516594,-0.174938320109047,-0.189545176505943,-0.190224544016565,-0.139220446260808,-0.0339052840477057,0.0165243904332759
5300,0,-0.0412025048496516,-0.136095113969071,-0.154500572207222,-0.189930574409993,-0.15177237934083,-0.0720804532724851,-0.0107644595238791,0.0540373842360056
5301,0,-0.124285234134997,-0.143048993229776,-0.159595900056406,-0.18380862282542,-0.206452133346306,-0.188679164197133,-0.0557164058949857,0.00257256679392825
5302,0,-0.0443972345689551,-0.13949474651077,-0.158051188902893,-0.167655506256325,-0.155574202376188,-0.0672308976352143,-0.0196785642966261,0.0563941561387677
5303,0,-0.12743285688734,-0.147587985475051,-0.138225204782684,-0.171354334964558,-0.192938272331783,-0.166998746370175,-0.0632903172390101,0.00821947644514642
5304,0,-0.0719317739026313,-0.152029181756868,-0.2086686919937,-0.186307535611991,-0.175949163155539,-0.10695773839025,-0.0147172871087243,0.0465504929839902
5305,0,-0.12983195977997,-0.152073535771594,-0.113502053522605,-0.157468743804714,-0.17699777046118,-0.139913148185153,-0.0728386528889379,0.0162636675323786
5306,0,-0.0382400245861328,-0.130566890469673,-0.152553181323251,-0.167913392950874,-0.146535100333345,-0.0610246360449439,-0.0211870773812808,0.054789466057797
5307,0,-0.128451405425103,-0.163065779398587,-0.0903763031127892,-0.136068841695953,-0.152587997641975,-0.100363414435119,-0.0755485147151701,0.0246600014331775
5308,0,-0.0409159526316865,-0.135747056322499,-0.160939888666556,-0.153692426387966,-0.153816296429108,-0.061603649968854,-0.0341399517492426,0.054860622767603
5309,0,-0.125554396077801,-0.143421996047895,-0.0540306994879676,-0.0946123311779776,-0.118710956774482,-0.0848910262552671,-0.0885291435177217,0.0278091619924943
5310,0,-0.0655890147106811,-0.153125008371744,-0.20218704211853,-0.150548659916536,-0.163883995086115,-0.0775869465996378,-0.0312737318854233,0.0624656149181633
5311,0,-0.140558749709107,-0.142951049508695,-0.0509955518901257,-0.100738063621751,-0.118805810200062,-0.0506364726048917,-0.0953197624795752,0.0399207226283131
5312,0,-0.062875211940451,-0.149461637170247,-0.202506814567026,-0.14497188216627,-0.162820611296825,-0.0788987807454502,-0.0360941395058268,0.0600599106379389
5313,0,-0.128610296860728,-0.200529337627777,-0.0680557911532904,-0.13726369639131,-0.132728954808673,-0.0213131297314945,-0.0808658933209023,0.042639763420961
5314,0,-0.0598077719114539,-0.145789399319292,-0.202790065112196,-0.140024370755269,-0.161842503930191,-0.0811244072440263,-0.0412212130787712,0.0572448814252693
5315,0,-0.107951412005252,-0.177793952191731,-0.0449483396669813,-0.0925336154850642,-0.103589004869367,-0.0142900368606333,-0.0758085533131871,0.0382470472697789
5316,0,-0.0541914184264179,-0.134246524093329,-0.197962308027313,-0.146238243031509,-0.162995219514607,-0.102143921059617,-0.0363808140473195,0.035820437597387
5317,0,-0.101938287663677,-0.124669818627326,-0.0342457344752242,-0.0642548965519133,-0.0698378812526089,0.027610906548091,-0.0548967923131465,0.0454428814932542
5318,0,-0.0282180279895611,-0.129080863529794,-0.169468270396732,-0.139681208835036,-0.153402353482409,-0.0690582006683294,-0.0655722168075954,0.0449060705126481
5319,0,-0.0531978829812236,-0.0950762786841984,-0.0208992809725462,-0.0487856176925611,-0.0455754924746761,0.0444584054622179,-0.0439482377956631,0.0420002193562015
5320,0,-0.0491706285192701,-0.134532740475204,-0.20419869332905,-0.128858382467187,-0.159318227148765,-0.093548891993067,-0.0584345034699205,0.0470018890784134
5321,0,-0.0199918289500639,-0.0997549756678099,-0.000523510858874476,-0.0455181711321583,-0.0497987829698211,0.0161201887595781,-0.0631760061477639,0.0320053579241275
5322,0,-0.0429469142654652,-0.124572356458237,-0.195543043445932,-0.134269207548227,-0.158516345745385,-0.112516346120458,-0.0520373152127579,0.026674350277202
5323,0,-0.00673144386215196,-0.0860026035609113,0.0079810027348699,-0.0452628174295392,-0.0478291484513677,0.0215808942393114,-0.0642123485085917,0.0303259843635639
5324,0,0.0111439755758544,-0.104636768684637,-0.133898674874194,-0.135399531747357,-0.131657993981654,-0.0559798444020717,-0.0923557343022163,0.0392682500125558
5325,0,0.0059652438854314,-0.0736206448159816,0.0150218115349205,-0.0467695615880356,-0.0470313985601758,0.0249859092732245,-0.0660921755370454,0.0277318032388341
5326,0,0.00692755848940529,-0.0929657471397481,-0.138782069992586,-0.125262954961861,-0.123493705106773,-0.0761280346665328,-0.076465834068704,0.0326778675226553
5327,0,0.0179845372712406,-0.0626866780815447,0.020619619201919,-0.0498846195483775,-0.0473564161479417,0.0264400179094066,-0.0687796325840589,0.0242807783394321
5328,0,-0.029601217404269,-0.102320663440336,-0.174087744905615,-0.133294787520137,-0.14829512300396,-0.142900092888043,-0.0446681987595376,-0.0059523359544793
5329,0,0.0292205828093373,-0.0532666579552982,0.0248070723948366,-0.0544415595924183,-0.0487492918278888,0.0260673007287762,-0.07223149198032,0.0200368989279027
5330,0,-0.0267559949418322,-0.0971394160162647,-0.168459077369177,-0.129483775650218,-0.14608137973415,-0.147806242438366,-0.0511374656815033,-0.0101119843805754
5331,0,0.0273979496808368,-0.0245908683137497,0.0342243943996001,-0.0437003065961344,-0.0235678443084487,0.0594415667100978,-0.0583501794022284,0.0279346156646418
5332,0,-0.0227599126149393,-0.0909955051395568,-0.158174719061399,-0.124765484395602,-0.142823819491065,-0.147618866506154,-0.0579372958304772,-0.0123007295414415
5333,0,0.0145986434256329,-0.0447069917900645,-0.00468373784492937,-0.0832587016762462,-0.0581345953275865,0.0395451828522144,-0.0641149254833339,0.0237084344459686
5334,0,-0.023820302545369,-0.0706896678053487,-0.131741633607428,-0.115910756598671,-0.127838561764884,-0.16005770849476,-0.0404539059296549,-0.0313707817791254
5335,0,0.0586224823414514,-0.0392902531598655,0.0201346386625345,-0.0830912921643681,-0.069199972274827,0.00394276624995649,-0.0870822362323621,0.00130784021109309
5336,0,-0.0190526357178487,-0.0755846707714626,-0.141395213731915,-0.120355939400749,-0.138788678649921,-0.15835163155997,-0.0712112354219308,-0.0235166321956042
5337,0,0.0651670358012311,-0.0371151601888771,0.01855487306035,-0.0921275558235691,-0.0746494245065993,-0.00248999093336644,-0.0934974962320662,-0.00549147679480522
5338,0,-0.0223466641883387,-0.0855460926450282,-0.14436137748295,-0.131139297702733,-0.153064294816142,-0.16887733798214,-0.0757278277664434,-0.0356582616578325
5339,0,0.0577503408439302,-0.0406787374742799,0.00350812782048204,-0.10387058156083,-0.0802412621020834,-0.00669192785717265,-0.0937577104219992,-0.00716884720058963
5340,0,-0.0442999856895574,-0.116929562063726,-0.155477443579215,-0.187005808687603,-0.192451902222381,-0.197620891718962,-0.0637025028569281,-0.0829781057757081
5341,0,-0.0415617318014339,-0.104473458510375,-0.142193800321601,-0.169768822639469,-0.181326802505492,-0.193220154246316,-0.0694622605146086,-0.0780119855116831
5342,0,0.0281857632619003,-0.053205822845977,-0.042429837309397,-0.124565945080129,-0.0931290824114132,-0.00855779938254508,-0.0847732776105817,-0.00103850636573544
5343,0,-0.0381717770131237,-0.0960014355218946,-0.128965687298315,-0.158498079070404,-0.173842857125614,-0.184224198134862,-0.0804683890303688,-0.0745692687318095
5344,0,0.0237933506451458,-0.0508119464503251,-0.053113895718825,-0.127086249643119,-0.0925194543319734,-0.0127026789879309,-0.086972766030496,-0.00658503317817083
5345,0,-0.0430945302126015,-0.118927814034406,-0.139941201495003,-0.184574925947845,-0.192033787167467,-0.167887247360633,-0.085755683954078,-0.0765654228452036
5346,0,-0.0535554504024611,-0.144315809292503,-0.162532558432125,-0.211572696621842,-0.216819818668744,-0.156185283964556,-0.082267756725817,-0.0787266299378644
5347,0,-0.0648119334644255,-0.15835423247544,-0.179303022288633,-0.223095895697414,-0.225971414217104,-0.134273711035354,-0.0779412091945988,-0.0702381941666653
5348,0,-0.0631377028536561,-0.146124619026958,-0.169628382137284,-0.20501163607227,-0.210657660010417,-0.113972244157865,-0.078386292925517,-0.05754264676739
5349,0,-0.0624778647172514,-0.135476603720244,-0.161246379753414,-0.188283896929943,-0.196097898790602,-0.0941792531961242,-0.0787452605757913,-0.044987854061053
5350,0,-0.0349360970183049,-0.103114654962934,-0.125555519845141,-0.161768367821773,-0.15517792041682,-0.0590336630422127,-0.0806510354537667,-0.0283975249215599
5351,0,-0.0638884333595684,-0.0322795959531136,-0.12530467474256,-0.0994270720102222,-0.148423199845827,-0.144142392048534,-0.0373304190740917,-0.0439985984564765
5352,0,-0.0954434933090522,-0.0567993520954098,-0.158437986138142,-0.109055223471723,-0.182004301648888,-0.172856136914845,-0.0300904398148696,-0.0452850016574988
5353,0,-0.0306650255636411,-0.121617634512004,-0.111936695201151,-0.12541253280058,-0.157126830425474,-0.0620679778093354,-0.0112104092814415,0.0260868104169512
5354,0,-0.0486428602953691,-0.0682746660795086,-0.122701843934701,-0.0987789699568381,-0.171180856261805,-0.12040124423464,-0.021128870789764,-0.0252428894082645
5355,0,-0.120044198054859,-0.0426427096124932,-0.173201868683283,-0.0804765609979043,-0.215524190892423,-0.199573730345594,-0.00619619803005378,-0.0607552995100316
5356,0,-0.140795949174829,-0.0964964893377258,-0.225537818261043,-0.176752313128211,-0.226162173566256,-0.255828099674615,-0.0411893842399286,-0.0443995021759025
