Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10","Regional strain value, cardiac phase_11"
8092,0,-0.115358012348551,-0.0955380366656492,-0.179259414628793,-0.167241451433761,-0.197374043907112,-0.205564725445201,-0.147911612833587,-0.0845764003553744,-0.086767028389637,-0.0307418032542054
8093,0,-0.0745770130010284,-0.0415730078537192,-0.0817498155761986,-0.0843032582849508,-0.0855690853270685,-0.09393203060653,-0.107063722113226,-0.151225295115942,-0.0445359323072003,-0.00145704771150568
8094,0,-0.12032023557311,-0.087471702767152,-0.158173970535875,-0.162019732558869,-0.187757562515913,-0.197981661032742,-0.141475370945418,-0.0759429818472884,-0.0723356305573872,-0.0309098390870264
8095,0,-0.0513058439203414,-0.0397327659426545,-0.0668459045821822,-0.100648896772786,-0.0938097622879296,-0.109366448081206,-0.10266293586452,-0.129075024831889,-0.0778243954372561,0.0259396434513643
8096,0,-0.13520264285376,-0.081116806037262,-0.168790097912404,-0.153785430619276,-0.200102902360925,-0.198998925911834,-0.143547447280809,-0.0623191255198907,-0.0655691899072854,-0.0242561882996009
8097,0,-0.0475285139891751,-0.0421453764498197,-0.0629192959435283,-0.111553837171526,-0.0995019565252121,-0.118466534198397,-0.0982316927756191,-0.121213526659859,-0.0946806439555942,0.0358299416897734
8098,0,-0.131586512036786,-0.0826572302673197,-0.180430246494043,-0.150901634075882,-0.202516660761595,-0.195132940735294,-0.139699667984579,-0.0697094352348618,-0.0683136499792942,-0.025605293001048
8099,0,-0.0491045524103007,-0.0460124671284492,-0.0624680700820015,-0.121757142150966,-0.105762910096749,-0.125870982345593,-0.0928615418854678,-0.116956333808886,-0.102378630880575,0.0384190413672978
8100,0,-0.123794583789868,-0.0868876934489468,-0.164977977301347,-0.157834202370762,-0.186065654940428,-0.18962423143075,-0.131581783486502,-0.0827187898188932,-0.0642099468562655,-0.0337952205420115
8101,0,-0.0599105378818957,-0.0549869432950313,-0.0689737648567882,-0.118878713359684,-0.105122987125629,-0.123443019855656,-0.0967196873039382,-0.127182898221471,-0.0966728109060156,0.0319419777790448
