Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10","Regional strain value, cardiac phase_11"
1190,0,0.013434949548405,-0.0661992980219704,-0.146486913384684,-0.168848108697377,-0.191156956955698,-0.199263974216819,-0.0737281986358086,-0.0517087952840121,-0.023140016444489,0.00518117415953001
1191,0,0.0307150562069938,-0.0530710956184907,-0.123910022862983,-0.132239290975775,-0.191055566377983,-0.134931493688804,-0.0825364015763531,-0.0799332943366802,-0.056479477271419,0.0465139091797691
1192,0,0.0279583785778152,-0.0619065693492737,-0.143223123709771,-0.182714260210389,-0.13965916169324,-0.104994030427777,-0.0485500730492923,-0.00204368287622458,0.0129140871770881,-0.0128423767263111
1193,0,-0.0543187175283485,-0.0864095774637947,-0.234382764990815,-0.237045602159151,-0.216346746726208,-0.189681767865856,-0.0606969020795021,-0.0404282562956384,-0.0327478558456269,-0.0491117410903426
1194,0,-0.00790158576020961,-0.0579589401523349,-0.190898058517195,-0.189825624305147,-0.213154288191833,-0.217290820120793,-0.0802934040803713,-0.0717208324595343,-0.0313506311209745,-0.0220545304214615
1195,0,0.0103203243874306,-0.0610497755946926,-0.165210552726666,-0.177709781466721,-0.202378513451861,-0.202420023767014,-0.0772778894394388,-0.0646812651955712,-0.0267170347416609,-0.00206450331428121
1196,0,0.0511388314932031,-0.0404316221835187,-0.0849954067441994,-0.113812367887252,-0.170301109265314,-0.137024250625113,-0.0749572716273847,-0.0633579558419357,-0.0541168819144923,0.0369166026995249
1197,0,0.0301415661439741,-0.0591049599040882,-0.144314335087495,-0.185345825974125,-0.149895027394648,-0.124378431279101,-0.0620942938294083,-0.0173099690879758,0.00976467897714617,-0.0130802313053664
1198,0,0.0137161326147579,-0.0455723872018078,-0.165971032280118,-0.167438437162004,-0.186969687099522,-0.182335041825708,-0.0637814269903466,-0.0571741859553312,-0.0260029193175201,-0.015706033946533
1199,0,-0.00487219049481791,-0.0477815956914734,-0.216424905763205,-0.189868041882793,-0.210648897242648,-0.194227519863502,-0.0649675659531729,-0.0622474678268287,-0.00988618033609223,-0.00321222163197254
1200,0,0.0212897974643422,-0.0549055013256591,-0.147934873100719,-0.163493895259747,-0.186390465054585,-0.186338715837873,-0.0714188098006358,-0.0601442287142431,-0.0256672343797346,-0.00340857271258233
1201,0,0.0506092128650788,-0.0189290652638159,-0.0931070760919259,-0.102352472787103,-0.162763604223827,-0.117961992250907,-0.0704854528662697,-0.0675771269018653,-0.0644501571244819,0.0270526461524399
1202,0,0.0318746074262128,-0.0566077250110844,-0.144776630379593,-0.187184223579073,-0.158961864591465,-0.141070632387914,-0.0747659553103548,-0.0305529447376442,0.00758871065381306,-0.0129470009272491
