Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9"
1439,0,0.0111991459842076,0.0113101735315966,-0.00980188005007609,-0.0106845364166879,-0.00757705767256545,-0.0854460241516238,-0.0484089151404123,0.00605272320242123
1440,0,0.0152459665937859,0.00712145852102553,-0.0115445825343136,-0.0102298887173357,-0.00930634800848018,-0.0516515822602792,-0.0183679514598571,0.0179169112648898
1441,0,-0.0312302528703541,-0.00696218294616635,-0.0212546663570232,0.0102647430649272,0.0338515304610738,-0.198396426473678,-0.100102302449707,0.0158490838398282
1442,0,-0.0259989505713699,-0.00169883177171692,-0.0217025431090196,-0.0282318274110662,-0.0168175479598374,-0.136191705412571,-0.0787486284769575,-0.0190447719689781
1443,0,-0.0249097360519568,-5.54364888707415e-05,-0.0164132218659909,0.0153682972846312,0.0400444876335215,-0.194821086950897,-0.104773383799375,0.0124254589805035
1444,0,-0.0351535676165979,-0.0189229127030216,-0.051743245663234,-0.0433549568224915,-0.0152324105654456,-0.151817233496821,-0.116767616217914,-0.049984972800984
1445,0,-0.0184945725118949,0.00632459022456877,-0.0121634022135269,0.0196226763592293,0.045193903008383,-0.188961340988092,-0.107508138169892,0.00909752692934762
1446,0,-0.0370134493967387,-0.019340787865599,-0.0502552913501183,-0.0469219908072728,-0.0112765049281515,-0.118604795031573,-0.101642172467291,-0.0418739826986974
1447,0,-0.0120092111385329,0.012071945970332,-0.00860387140470487,0.0229500967152754,0.0492047363090871,-0.180808467514914,-0.108145160787049,0.00594792225025409
1448,0,-0.0504613770547609,-0.00658477653127665,-0.020213193762557,-0.0353036538267117,-0.00910265689286083,-0.117398627485402,-0.0741827591984074,-0.0184913433234666
1449,0,-0.00548372898104765,0.0170899694921884,-0.00582289931274971,0.0252891299458289,0.051990192500049,-0.170412556730257,-0.106580671218564,0.00305915265525702
1450,0,-0.0375027724326755,0.0147067731809605,0.00973279113763659,-0.00504034674458986,0.00815239716087901,-0.130566538342741,-0.0657202062026155,-0.00980668117160477
1451,0,-0.000328374328345982,0.0216344822024281,-0.00306086920667947,0.0282348801090453,0.0539316141689736,-0.159397596380557,-0.10234497910147,0.00180783975069665
1452,0,-0.0412426661329371,0.0171231708908703,0.0115165924846519,-0.00148583318700857,0.0143764232359489,-0.148518298704377,-0.0761612285061537,-0.0222792487158783
1453,0,-0.0250746413884267,-0.00590319738452005,-0.0159893796378222,0.0111675037196843,0.0394688977990667,-0.15514535547281,-0.105530954764668,-0.0337020560093015
1454,0,-0.0441290509693317,0.0185201671848865,0.0121163808225249,0.00185706984707634,0.0203403829947335,-0.164979556607375,-0.0838859491262158,-0.0351288877435957
1455,0,-0.0334101717792515,0.0220102015870922,0.0177910149557587,0.0405841308456707,0.0697892087923051,-0.205094152972829,-0.107160539885877,-0.0695406986528273
1456,0,-0.00767349438681031,0.0567354180400019,0.0330965617950407,0.0391643650611206,0.0544423290350617,-0.148663647088563,-0.0965895205128577,-0.037061071160096
1457,0,-0.00723391782371452,0.030448871607313,0.0147501931807652,0.0417029822196071,0.0695305589330517,-0.166044619945539,-0.0877956196607226,-0.0477554698694838
1458,0,-0.0118765341274554,0.0649176776695481,0.0413973508606544,0.0472268115733823,0.0647090559542967,-0.164462493359979,-0.094921931273747,-0.0441615735720382
1459,0,-0.00468601023107729,0.00833837753635058,-0.0104582664227061,0.0156134348862511,0.0502977369222941,-0.111354386273241,-0.0626504182637968,-0.0347881179488816
1460,0,-0.0258251493148778,0.0439650266991545,0.00861165002449971,0.0402889824260955,0.0671874695640235,-0.141480307360178,-0.129080798028506,-0.0853330404383056
1461,0,-0.0368794408507508,0.0376047759537304,0.00614176275656586,0.0370831921605259,0.0539624349549646,-0.17506273709103,-0.119527840094837,-0.085860609891027
1462,0,-0.0306253527599178,-0.0425118381659989,-0.057234717046116,-0.0222422748404737,0.0170961761641082,-0.0583414520779951,-0.0815030993293516,-0.0601157606831622
1463,0,-0.0226470151615586,0.0353244197147762,0.0114142753086184,0.0251562442683253,0.0552060275855992,-0.148364676369514,-0.0882986048601903,-0.0677247277252094
1464,0,-0.0352527849000323,-0.010019422106182,-0.0229184099034421,0.0291606177693333,0.0487812904637002,-0.106206906965696,-0.122708664088484,-0.109390824805903
1465,0,-0.0252774723087729,0.0481027276943085,0.0171856098040575,0.0521946547155074,0.0701698361769392,-0.189510613513145,-0.10556588518921,-0.0956682151467725
1466,0,-0.0389699227311586,0.035610102821958,0.00871634802819998,0.0759812361462833,0.0855194703418536,-0.161681705388661,-0.172649374394197,-0.157551336014742
1467,0,-0.0433050966659339,0.0255089107885678,0.00489596411068094,0.0429962270414379,0.0754628689309911,-0.170202338476885,-0.103886611040652,-0.125561004290795
1468,0,-0.0078835428187467,0.102278524916111,0.0730312311688532,0.145301526829873,0.147980438450096,-0.166471989036996,-0.154970571652306,-0.140321306199477
1469,0,-0.0572850961055359,0.0168293845411702,0.000746275230531834,0.0441313512252675,0.0880358126641754,-0.135732335442497,-0.0999331174015297,-0.149310861820578
1470,0,-0.0134238353496079,0.0553908326070609,0.0294759906512669,0.0932149514480143,0.101726612965815,-0.12949601793449,-0.117585268464978,-0.13345844817405
1471,0,-0.0585926803853645,-0.0332784657165135,-0.0488663225809252,-0.0147514207250133,0.0242286829176228,-0.131205837593351,-0.072714396795115,-0.140009665782528
1472,0,-0.00101477041601128,0.0149161025901938,-0.0112916233413407,0.0410534190954002,0.0428173499767972,-0.0744673946843643,-0.0737571160910607,-0.0970715401263607
1473,0,-0.0517511140152416,-0.115132220807775,-0.197817378664628,-0.188775828945867,-0.121034423716451,-0.0868404836735868,-0.0382055025747089,-0.0254808615017605
1474,0,-0.0227118364446928,-0.136155622763959,-0.200317202825587,-0.242498243179365,-0.168815621409322,-0.0788355937832862,-0.0536816941924911,-0.00240270239974227
1475,0,-0.13320696435865,-0.150846320166793,-0.234438480983662,-0.199173017727562,-0.129164629559515,-0.113645064097835,-0.0733439348463734,-0.0756403958613945
1476,0,-0.291994821105289,-0.210524823045382,-0.309952961892107,-0.304417484023274,-0.219024308712125,-0.159043812156242,-0.176115621471117,-0.129034016901517
1477,0,-0.197734117686475,-0.1934381756826,-0.257752051839905,-0.327388269823762,-0.208613555999163,-0.142682958043181,-0.147986061204784,-0.093554572859917
1478,0,-0.0606679174439301,-0.160431505301003,-0.205981707488686,-0.256787560223362,-0.186390524085593,-0.105501564885587,-0.0532411823949097,-0.0201208320095632
1479,0,-0.0154722121864882,-0.145859438005409,-0.154657435862534,-0.256102827605829,-0.109502452252027,-0.086252691929533,-0.0420533845219317,-0.034329463977143
1480,0,-0.00916399269244772,-0.151435227673047,-0.150465288052682,-0.266757639531961,-0.104338488646962,-0.0797794264420879,-0.0390551641585567,-0.0396157270464443
1481,0,-0.0499382147063788,-0.167500664849678,-0.168665668885536,-0.285729032680577,-0.119808844406845,-0.0832320580136828,-0.0437178855418918,-0.0613980251592833
1482,0,-0.0428224874737173,-0.192055767328214,-0.167990794428873,-0.279457997845924,-0.107516479415705,-0.0638089049375956,-0.0110301580408199,-0.0717859705123446
1483,0,-0.139071512223292,-0.199169946934942,-0.210322819649439,-0.314923583947031,-0.160426279640545,-0.0833889906332748,-0.0383932626107412,-0.102362274974173
1484,0,-0.247046134529015,-0.177041005392583,-0.247728756431505,-0.366782601931016,-0.217800944375379,-0.121798620951259,-0.102766123387441,-0.13331243442552
1485,0,-0.228846022983115,-0.171148161007361,-0.261873280822873,-0.255786250279687,-0.251279896061126,-0.139605275988989,-0.0981044553445723,-0.0425672254712197
1486,0,-0.187738791142803,-0.164042699017755,-0.233601562634609,-0.209713684501713,-0.224091091896862,-0.171866706258943,-0.0186101329677153,-0.033439971096796
1487,0,-0.137909953725159,-0.15908939995343,-0.214042208289768,-0.194350788234589,-0.213905539985027,-0.139214263023451,0.00765490120430656,-0.0305188093092803
1488,0,-0.225899505708954,-0.192862129778633,-0.255420018101051,-0.259702500240544,-0.245127094257499,-0.175157849963654,-0.0774710259912498,-0.0412150065179736
