Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9"
1761,0,-0.00134528496027642,-0.075326768499013,-0.137967709839124,-0.176232250213832,-0.205715165500567,-0.112933597986813,-0.0834513057075461,0.0254622033596332
1762,0,-0.0783897778967745,-0.104735387989851,-0.15085452951221,-0.178000168978498,-0.166952505073762,-0.0877633625418983,-0.102420250803673,-0.110182933261127
1763,0,-0.00627845727124487,-0.0777601047505341,-0.134196078745718,-0.182740363921805,-0.199254670495305,-0.0995990320104264,-0.0830618325043734,0.0199474790388952
1764,0,-0.096334988370642,-0.113717242464698,-0.153663352866798,-0.115623878063282,-0.117002950798396,-0.0632234162074211,-0.0676781131721741,-0.103951895257252
1765,0,-0.00409843250309072,-0.0673861317854092,-0.126501470716326,-0.139524576259902,-0.172044379903381,-0.0978967710253238,-0.0735547182455059,0.0296054661778629
1766,0,-0.0855065380239654,-0.109162745938613,-0.153422192606725,-0.182034016218206,-0.156444870285521,-0.0806206055015515,-0.0973363998870471,-0.0984692435556441
1767,0,-0.0930662463828628,-0.106362153425384,-0.134367143053677,-0.162371403236144,-0.137653106013165,-0.0564788421560157,-0.0967771486398998,-0.06188457183211
1768,0,-0.0978834717708389,-0.109148076628655,-0.131853840975046,-0.167794742069333,-0.140935640647754,-0.0578472541607586,-0.108226088883412,-0.0699475660639463
1769,0,-0.00354693524610317,-0.0635088028693122,-0.106775237864948,-0.144310392145809,-0.150847640515145,-0.0715764823981595,-0.0594875757594018,0.0318632607680791
1770,0,-0.0882023106020092,-0.112005316896468,-0.155773914075283,-0.182694908398628,-0.149430306727199,-0.0794934060432761,-0.0981431378095512,-0.0969852037917278
1771,0,-0.0574567036090248,-0.0944047112698206,-0.0970448956406059,-0.219430843701273,-0.161552094752697,-0.0518155559268414,-0.102740447924885,-0.0386276204528546
1772,0,-0.00549758720428228,-0.0645955190549086,-0.107986139532855,-0.140128553626499,-0.148467094682379,-0.0704350904586518,-0.0639664858446978,0.0273248170306037
1773,0,-0.0843943423406353,-0.113593531797697,-0.161667363540026,-0.197344294476755,-0.148779923877818,-0.0801725116183972,-0.104379227656718,-0.088539686480792
1774,0,-0.0197332117343682,-0.0710508893698832,-0.109644484965537,-0.136381030474532,-0.127131964256722,-0.061611536116823,-0.0659943096781098,0.00612919149214219
1775,0,-0.0740239316340177,-0.114571922515938,-0.172617905093581,-0.235313415118159,-0.165189902132989,-0.0890856093470331,-0.119736767605602,-0.0753498066587918
1776,0,-0.0828071362011191,-0.111264817444037,-0.125962187271766,-0.159389848938091,-0.123638897985261,-0.0524995939611985,-0.10241497641277,-0.0618310678833134
1777,0,-0.0341187151795312,-0.0815109913157603,-0.124143121296793,-0.147792636227046,-0.125527674191715,-0.0645372867233229,-0.0786186689467598,-0.0193037631016021
1778,0,-0.0868044587651576,-0.115725917283358,-0.165150663700126,-0.195697715434856,-0.132389301636699,-0.075661134083552,-0.101541620266826,-0.0825544629221523
1779,0,-0.0822988458027233,-0.120317168103492,-0.121177095546148,-0.162163359574739,-0.106229101663019,-0.0481083440486249,-0.106150505989735,-0.0662637318407069
1780,0,-0.0781920735534408,-0.11380991542562,-0.117870818544609,-0.185635576262258,-0.125277979974699,-0.0534853710894387,-0.104072964626296,-0.054026654834212
1781,0,-0.0307984108801029,-0.0785344427316744,-0.110949277086355,-0.134166555824885,-0.105746435941357,-0.0529612426614019,-0.0678318973066248,-0.0120700275487375
1782,0,-0.0729663219052518,-0.12301839377225,-0.183657682995242,-0.220040276719051,-0.146886075848297,-0.0959633032851459,-0.135435189884145,-0.0780487762041052
1783,0,-0.0688613634302668,-0.118708742730062,-0.105961252758106,-0.186728707137931,-0.111786578153013,-0.0469460651380591,-0.108408977293439,-0.0487398086379871
1784,0,-0.0788313206978193,-0.116962961806561,-0.117194797962412,-0.203524099454341,-0.104804255306128,-0.0510904553374282,-0.0924303494806654,-0.0471632104323411
1785,0,-0.0962088630990475,-0.125022662117693,-0.138053479396693,-0.168538791862969,-0.085473814425462,-0.0463785447763178,-0.0838816826409153,-0.041158854431281
1786,0,-0.0460633049623349,-0.0862980884072911,-0.120038813340209,-0.13353208802977,-0.0960938629886389,-0.0533301767339164,-0.0754834494440245,-0.0317350542666271
